en_name,zh_name
SJ5,外關
DU14,大椎
KI1,湧泉
BL40,委中
DU3,腰陽關
BL31,上Liao
BL33,中Liao
BL34,下Liao
DU4,命門
DU2,腰俞
BL23,腎俞
LR13,章門
GB39,懸鐘
SP10,血海
RN4,關元
SP6,三陰交
LI4,合谷
LU2,云門
ST36,足三里
ST35,Du鼻
ST34,梁丘
GB34,陽陵泉
DU20,百會
EX-HN1,四神聰
